2025-10-04 00:18:41,091 | INFO     | PokemonFaiths   | Logging to file: logs\game_20251004_001841.log
2025-10-04 00:18:41,095 | INFO     | PokemonFaiths.Main | === Pokemon Faiths Starting ===
2025-10-04 00:18:41,963 | INFO     | PokemonFaiths.Main | Pygame initialized successfully
2025-10-04 00:18:41,964 | INFO     | PokemonFaiths.AudioManager | Audio system initialized successfully
2025-10-04 00:18:41,964 | INFO     | PokemonFaiths.Settings | Loaded settings: Music=100%, SFX=100%
2025-10-04 00:18:41,972 | INFO     | PokemonFaiths.AudioManager | Playing music: menu
2025-10-04 00:18:41,973 | INFO     | PokemonFaiths.StartScreen | Save file exists: True
2025-10-04 00:18:42,034 | INFO     | PokemonFaiths.StartScreen | Starting Pokémon Faiths start screen...
2025-10-04 00:18:43,094 | INFO     | PokemonFaiths.StartScreen | Start screen exited with selection: continue
2025-10-04 00:18:43,098 | INFO     | PokemonFaiths.Main | Loading saved game...
2025-10-04 00:18:43,099 | INFO     | PokemonFaiths.SaveManager | Game loaded successfully (Player: edy)
2025-10-04 00:18:43,099 | INFO     | PokemonFaiths.Main | Loaded save for: edy
2025-10-04 00:18:43,270 | INFO     | PokemonFaiths.Bedroom | Bedroom assets loaded successfully
2025-10-04 00:18:43,270 | INFO     | PokemonFaiths.Bedroom | Loading player position from save: (217, 279)
2025-10-04 00:18:43,329 | INFO     | PokemonFaiths.Bedroom | Bedroom scene initialized
2025-10-04 00:18:43,329 | INFO     | PokemonFaiths.Bedroom | Bedroom scene started
2025-10-04 00:18:45,274 | INFO     | PokemonFaiths.Bedroom | Player stepped on teleport rug - going outside!
2025-10-04 00:18:45,275 | INFO     | PokemonFaiths.SaveManager | Game saved successfully
2025-10-04 00:18:45,275 | INFO     | PokemonFaiths.Bedroom | Set outside spawn to: (332, 222)
2025-10-04 00:18:45,294 | INFO     | PokemonFaiths.Bedroom | Bedroom scene exited
2025-10-04 00:18:45,295 | INFO     | PokemonFaiths.Main | Teleporting to outside scene...
2025-10-04 00:18:45,429 | INFO     | PokemonFaiths.Outside | Outdoor assets loaded
2025-10-04 00:18:45,429 | INFO     | PokemonFaiths.Outside | Village map created: 40x30 with 5 houses and cave entrance
2025-10-04 00:18:45,429 | INFO     | PokemonFaiths.Outside | Loading outside position from save: (332, 222)
2025-10-04 00:18:45,479 | INFO     | PokemonFaiths.Outside | Outside scene initialized
2025-10-04 00:18:45,479 | INFO     | PokemonFaiths.Outside | Outside scene started
2025-10-04 00:18:51,364 | INFO     | PokemonFaiths.Entities | Sprint: ON
2025-10-04 00:18:57,126 | INFO     | PokemonFaiths.Outside | Player entering cave!
2025-10-04 00:18:57,127 | INFO     | PokemonFaiths.SaveManager | Game saved successfully
2025-10-04 00:18:57,128 | INFO     | PokemonFaiths.Outside | Set cave spawn to center: (340, 170)
2025-10-04 00:18:57,128 | INFO     | PokemonFaiths.Outside | Player entering cave
2025-10-04 00:18:57,137 | INFO     | PokemonFaiths.Outside | Outside scene exited
2025-10-04 00:18:57,137 | INFO     | PokemonFaiths.Main | Entering cave...
2025-10-04 00:18:57,417 | INFO     | PokemonFaiths.Cave | Cave scene initialized
2025-10-04 00:18:58,655 | INFO     | PokemonFaiths.Entities | Sprint: ON
2025-10-04 00:19:09,365 | INFO     | PokemonFaiths.SaveManager | Game saved successfully
2025-10-04 00:19:09,444 | INFO     | PokemonFaiths.Main | === Pokemon Faiths Shutdown ===
