2025-10-04 00:16:47,222 | INFO     | PokemonFaiths   | Logging to file: logs\game_20251004_001647.log
2025-10-04 00:16:47,227 | INFO     | PokemonFaiths.Main | === Pokemon Faiths Starting ===
2025-10-04 00:16:48,118 | INFO     | PokemonFaiths.Main | Pygame initialized successfully
2025-10-04 00:16:48,118 | INFO     | PokemonFaiths.AudioManager | Audio system initialized successfully
2025-10-04 00:16:48,118 | INFO     | PokemonFaiths.Settings | Loaded settings: Music=100%, SFX=100%
2025-10-04 00:16:48,126 | INFO     | PokemonFaiths.AudioManager | Playing music: menu
2025-10-04 00:16:48,128 | INFO     | PokemonFaiths.StartScreen | Save file exists: True
2025-10-04 00:16:48,191 | INFO     | PokemonFaiths.StartScreen | Starting Pokémon Faiths start screen...
2025-10-04 00:16:49,258 | INFO     | PokemonFaiths.StartScreen | Start screen exited with selection: continue
2025-10-04 00:16:49,262 | INFO     | PokemonFaiths.Main | Loading saved game...
2025-10-04 00:16:49,262 | INFO     | PokemonFaiths.SaveManager | Game loaded successfully (Player: edy)
2025-10-04 00:16:49,263 | INFO     | PokemonFaiths.Main | Loaded save for: edy
2025-10-04 00:16:49,439 | INFO     | PokemonFaiths.Bedroom | Bedroom assets loaded successfully
2025-10-04 00:16:49,439 | INFO     | PokemonFaiths.Bedroom | Loading player position from save: (241, 298)
2025-10-04 00:16:49,443 | INFO     | PokemonFaiths.Bedroom | Bedroom scene initialized
2025-10-04 00:16:49,444 | INFO     | PokemonFaiths.Bedroom | Bedroom scene started
2025-10-04 00:16:51,444 | INFO     | PokemonFaiths.Bedroom | Player stepped on teleport rug - going outside!
2025-10-04 00:16:51,445 | INFO     | PokemonFaiths.SaveManager | Game saved successfully
2025-10-04 00:16:51,446 | INFO     | PokemonFaiths.Bedroom | Set outside spawn to: (332, 222)
2025-10-04 00:16:51,452 | INFO     | PokemonFaiths.Bedroom | Bedroom scene exited
2025-10-04 00:16:51,453 | INFO     | PokemonFaiths.Main | Teleporting to outside scene...
2025-10-04 00:16:51,592 | INFO     | PokemonFaiths.Outside | Outdoor assets loaded
2025-10-04 00:16:51,593 | INFO     | PokemonFaiths.Outside | Village map created: 40x30 with 5 houses and cave entrance
2025-10-04 00:16:51,593 | INFO     | PokemonFaiths.Outside | Loading outside position from save: (332, 222)
2025-10-04 00:16:51,594 | INFO     | PokemonFaiths.Outside | Outside scene initialized
2025-10-04 00:16:51,595 | INFO     | PokemonFaiths.Outside | Outside scene started
2025-10-04 00:16:53,762 | INFO     | PokemonFaiths.Outside | Debug mode: ON
2025-10-04 00:16:57,221 | INFO     | PokemonFaiths.Outside | Player entering house door - going to bedroom!
2025-10-04 00:16:57,222 | INFO     | PokemonFaiths.SaveManager | Game saved successfully
2025-10-04 00:16:57,222 | INFO     | PokemonFaiths.Outside | Set bedroom spawn to: (238, 310)
2025-10-04 00:16:57,222 | INFO     | PokemonFaiths.Outside | Player entering house - teleporting to bedroom
2025-10-04 00:16:57,241 | INFO     | PokemonFaiths.Outside | Outside scene exited
2025-10-04 00:16:57,241 | INFO     | PokemonFaiths.Main | Returning to bedroom...
2025-10-04 00:16:57,246 | INFO     | PokemonFaiths.Bedroom | Bedroom assets loaded successfully
2025-10-04 00:16:57,247 | INFO     | PokemonFaiths.Bedroom | Loading player position from save: (238, 310)
2025-10-04 00:16:57,247 | INFO     | PokemonFaiths.Bedroom | Bedroom scene initialized
2025-10-04 00:16:57,248 | INFO     | PokemonFaiths.Bedroom | Bedroom scene started
2025-10-04 00:16:59,214 | INFO     | PokemonFaiths.Bedroom | Player stepped on teleport rug - going outside!
2025-10-04 00:16:59,215 | INFO     | PokemonFaiths.SaveManager | Game saved successfully
2025-10-04 00:16:59,215 | INFO     | PokemonFaiths.Bedroom | Set outside spawn to: (332, 222)
2025-10-04 00:16:59,223 | INFO     | PokemonFaiths.Bedroom | Bedroom scene exited
2025-10-04 00:16:59,224 | INFO     | PokemonFaiths.Main | Teleporting to outside scene...
2025-10-04 00:16:59,228 | INFO     | PokemonFaiths.Outside | Outdoor assets loaded
2025-10-04 00:16:59,228 | INFO     | PokemonFaiths.Outside | Village map created: 40x30 with 5 houses and cave entrance
2025-10-04 00:16:59,228 | INFO     | PokemonFaiths.Outside | Loading outside position from save: (332, 222)
2025-10-04 00:16:59,229 | INFO     | PokemonFaiths.Outside | Outside scene initialized
2025-10-04 00:16:59,229 | INFO     | PokemonFaiths.Outside | Outside scene started
2025-10-04 00:17:00,271 | INFO     | PokemonFaiths.Entities | Sprint: ON
2025-10-04 00:17:03,972 | INFO     | PokemonFaiths.Outside | Debug mode: ON
2025-10-04 00:17:06,357 | INFO     | PokemonFaiths.Outside | Quit event received
2025-10-04 00:17:06,358 | INFO     | PokemonFaiths.SaveManager | Game saved successfully
2025-10-04 00:17:06,359 | INFO     | PokemonFaiths.Outside | Game saved successfully
2025-10-04 00:17:06,375 | INFO     | PokemonFaiths.Outside | Outside scene exited
2025-10-04 00:17:06,446 | INFO     | PokemonFaiths.Main | === Pokemon Faiths Shutdown ===
